Street,HouseNumber,Locality,Region,Province,PostalCode,Country,Latitude,Longitude
Calle de la Estafeta,1,Alcobendas,Madrid,Comunidad de Madrid,28109,España,40.5148361,-3.6514933
Avenida Luxemburgo,18,Nuevo Baztán,Madrid,Comunidad de Madrid,28514,España,40.3544779,-3.2644975
Plaza de Calvo Sotelo,12,Navas del Rey,Madrid,Comunidad de Madrid,28695,España,40.3847328,-4.2510145
Avenida de Juan Antonio Samaranch,67,Madrid,Madrid,Comunidad de Madrid,28055,España,40.4909832,-3.6109063
Avenida San Martín de Valdeiglesias,20,Alcorcón,Madrid,Comunidad de Madrid,28922,España,40.3578999,-3.8314286
Sector Oficios,29,Tres Cantos,Madrid,Comunidad de Madrid,28760,España,40.6056189,-3.7151347
Calle de Ramón Gómez de la Serna,4,Madrid,Madrid,Comunidad de Madrid,28035,España,40.4810314,-3.7233606
Calle de Dulce Chacón,15,Madrid,Madrid,Comunidad de Madrid,28050,España,40.484733,-3.6661281
Plaza Santiago,9,Santa María de la Alameda,Madrid,Comunidad de Madrid,28296,España,40.5692497,-4.2696355
Carretera de Fuencarral,1,Alcobendas,Madrid,Comunidad de Madrid,28108,España,40.5322907,-3.6442131
Calle del Mediodía,3,Torrejón de Velasco,Madrid,Comunidad de Madrid,28990,España,40.1873805,-3.7753152
Camino de la Zarzuela,11,Madrid,Madrid,Comunidad de Madrid,28023,España,40.4647194,-3.7855522
Carretera del Pantano,3,San Martín de Valdeiglesias,Madrid,Comunidad de Madrid,28680,España,40.3752047,-4.3227563
Plaza San Anacleto,1,Madrid,Madrid,Comunidad de Madrid,28023,España,40.4580263,-3.782582
Carretera de Ávila,4,San Martín de Valdeiglesias,Madrid,Comunidad de Madrid,28680,España,40.3611018,-4.4030717
Calle del Pez,36,Madrid,Madrid,Comunidad de Madrid,28004,España,40.4242754,-3.7065235
Calle Doctor Fleming,44,Rozas de Puerto Real,Madrid,Comunidad de Madrid,28649,España,40.3087833,-4.4863513
Avenida de Pablo Neruda,91,Madrid,Madrid,Comunidad de Madrid,28018,España,40.380979,-3.663015
Calle de la Isla de Java,2,Madrid,Madrid,Comunidad de Madrid,28034,España,40.4862166,-3.6777766
